order_id,user_id,product_id,amount,status,created_at
ORD-001,U-1,P-1,1500,completed,2024-01-15 10:30:00
ORD-002,U-2,P-3,3200,completed,2024-01-15 14:20:00
ORD-003,U-1,P-2,800,cancelled,2024-01-15 09:15:00
ORD-004,U-3,P-4,5600,completed,2024-01-15 18:00:00
ORD-005,U-4,P-1,1500,completed,2024-01-16 11:00:00
ORD-006,U-2,P-3,3200,completed,2024-01-16 13:30:00
ORD-007,U-5,P-2,800,pending,2024-01-16 08:00:00
ORD-008,U-1,P-4,5600,completed,2024-01-16 16:45:00
ORD-009,U-3,P-1,1500,completed,2024-01-17 09:30:00
ORD-010,U-4,P-3,3200,cancelled,2024-01-17 10:00:00
ORD-011,U-2,P-4,5600,completed,2024-01-17 14:00:00
ORD-012,U-5,P-2,800,completed,2024-01-17 15:30:00
ORD-013,U-1,P-3,3200,completed,2024-01-17 17:00:00
ORD-014,U-2,P-1,1500,completed,2024-01-18 11:00:00
ORD-015,U-3,P-2,800,cancelled,2024-01-18 12:30:00
ORD-016,U-4,P-4,5600,pending,2024-01-18 14:00:00
ORD-017,U-5,P-3,3200,completed,2024-01-19 09:00:00
ORD-018,U-1,P-1,1500,completed,2024-01-19 11:30:00
ORD-019,U-2,P-4,5600,completed,2024-01-19 13:00:00
ORD-020,U-3,P-2,800,completed,2024-01-19 15:00:00
ORD-021,U-4,P-3,3200,completed,2024-01-19 16:30:00
ORD-022,U-5,P-1,1500,cancelled,2024-01-20 10:00:00
ORD-023,U-1,P-4,5600,completed,2024-01-20 12:00:00
ORD-024,U-2,P-3,3200,completed,2024-01-20 14:00:00
ORD-025,U-3,P-1,1500,completed,2024-01-21 09:30:00
ORD-026,U-4,P-2,800,completed,2024-01-21 11:00:00
ORD-027,U-5,P-4,5600,pending,2024-01-21 13:00:00
ORD-028,U-1,P-3,3200,completed,2024-01-22 10:00:00
ORD-029,U-2,P-1,1500,completed,2024-01-22 12:30:00
ORD-030,U-3,P-4,5600,completed,2024-01-22 14:00:00
